Sl. No.,State/UT,Educational Standard - Illiterate,Educational Standard - Below Class X,Educational Standard - Class X & above but below Graduation,Educational Standard - Graduate,Educational Standard - Holding Tech. Degree/ Diploma,Educational Standard - Post Graduate,Educational Standard - Total,Domicile - Belongs to State,Domicile - Belongs to other State,Domicile - Belongs to other Country,Domicile - Total,Convicts - Male Special Prison,Convicts - Female Special Prison,Convicts - Transgender Special Prison,Convicts - Total  Special Prison,Undertrials - Male  Special Prison,Undertrials - Female  Special Prison,Undertrials - Transgender  Special Prison,Undertrials - Total  Special Prison,Detenues - Male  Special Prison,Detenues - Female  Special Prison,Detenues - Transgender  Special Prison,Detenues - Total  Special Prison,Hindu,Muslim,Sikh,Christian,Others,Total (Religion),Convicts - Male,Convicts - Female,Convicts - Transgender,Convicts - Total,Undertrials - Male,Undertrials - Female,Undertrials - Transgender,Undertrials - Total,Detenues - Male,Detenues - Female,Detenues - Transgender,Detenues - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Total - Male,Total - Female,Total - Transgender,Total - Total,16 - 18 Years - No. of Convicts,16 - 18 Years - % Share,18 - 30 Years - No. of Convicts,18 - 30 Years - % Share,30 - 50 Years - No. of Convicts,30 - 50 Years - % Share,50 Years & Above - No. of Convicts,50 Years & Above - % Share,Total - No. of Convicts (AgeGroup),Total - % Share (Agegroup),Offences affecting the Human Body - Murder - (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder - (Col. 4),Offences affecting the Human Body - Dowry Deaths - (Col. 5),Offences affecting the Human Body - Attempt to Murder - (Col. 6),Offences affecting the Human Body - Kidnapping & Abduction - (Col. 7),Offences affecting the Human Body - Rape - (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty - (Col. 9),Total Offences affecting the Human Body - (Col. 10),Offences against Public Tranquility - Riots - (Col. 11),Offences against Property - Thefts - (Col. 12),Offences against Property - Extortion - (Col. 13),Offences against Property - Robbery - (Col. 14,Offences against Property - Dacoity - (Col. 15),Offences against Property - Prep. and Assembly for Dacoity - (Col. 16),Offences against Property - Criminal Breach of Trust - (Col. 17),Offences against Property - Cheating - (Col. 18),Offences against Property - Arson - (Col. 19),Offences against Property - Burglary - (Col. 20),Total Offences against Property - (Col. 21),Offences relating to Documents & Property Marks - Counterfeiting - (Col. 22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband - (Col. 23),Other Crime Against Women - Insult to the Modesty of Women - (Col. 24),Total Other Crime Against Women - Col (23) + Col (24) - (Col. 25),Undertrials of offences against women (Total of Col. 5 + Col. 8 + Col. 9 + Col.23 + Col.24) - (Col. 26),Other IPC Crimes - (Col. 27),Total Undertrials (IPC Crimes) - (Col. 28)
Total (States),Total (States),95882,143723,79223,22794,4753,6120,352495,103249,6153,979,110381,1170,34,5,1209,4006,221,0,4227,223,5,1,229,83696,19158,2537,3385,1605,110381,104888,4501,13,109402,335418,14078,49,349545,3252,62,3,3317,200,3,0,203,443758,18644,65,462467,5,0,31640,28.7,55064,49.9,23672,21.4,110381,100,68918,8437,14135,28207,14963,38010,4714,177384,2051,27217,2409,11675,9745,5302,2838,6239,692,5625,71742,1401,4143,395,4538,61397,11486,268602
29,A & N Islands,16,156,22,0,0,0,194,65,0,72,137,0,0,0,0,0,0,0,0,0,0,0,0,76,19,0,32,10,137,61,4,0,65,121,7,0,128,0,0,0,0,0,0,0,0,182,11,0,193,0,0,24,17.5,90,65.7,23,16.8,137,100,23,0,0,2,0,6,2,33,0,6,0,0,0,0,0,6,0,0,12,0,0,0,0,8,0,45
30,Chandigarh,125,256,167,52,7,12,619,200,145,4,349,0,0,0,0,0,0,0,0,0,0,0,0,290,23,31,5,0,349,333,12,0,345,577,33,0,610,0,0,0,0,0,0,0,0,910,45,0,955,0,0,153,43.8,163,46.7,33,9.5,349,100,84,25,0,27,31,70,7,244,0,130,0,55,9,3,16,10,0,12,235,0,0,0,0,77,12,491
31,Dadra and Nagar Haveli and Daman and Diu,36,40,43,19,0,0,138,6,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,15,14,1,0,15,132,6,0,138,4,0,0,4,0,0,0,0,150,7,0,157,0,0,2,13.3,11,73.3,2,13.3,15,100,62,0,0,18,2,40,0,122,0,0,0,3,1,0,1,0,0,0,5,0,0,0,0,40,3,130
32,Delhi,3286,5922,4313,674,104,207,14506,939,458,73,1470,0,0,0,0,0,0,0,0,0,0,0,0,1082,316,25,42,5,1470,1356,41,0,1397,13726,375,5,14106,7,0,0,7,3,0,0,3,15092,416,5,15513,0,0,484,32.9,791,53.8,195,13.3,1470,100,2506,187,301,1006,410,1915,159,6484,166,2422,73,971,1295,5,29,572,1,52,5420,8,21,65,86,2461,56,12220
33,Jammu & Kashmir,935,1213,1243,227,8,91,3717,127,22,10,159,0,0,0,0,165,0,0,165,0,0,0,0,74,76,7,0,2,159,146,3,0,149,3554,124,0,3678,211,0,0,211,0,0,0,0,3911,127,0,4038,0,0,27,17,97,61,35,22,159,100,1136,1,29,62,28,500,3,1759,0,86,0,0,1,0,0,3,0,4,94,2,0,1,1,533,71,1927
34,Ladakh,3,7,11,0,0,0,21,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,5,3,0,0,3,17,1,0,18,0,0,0,0,0,0,0,0,20,1,0,21,0,0,2,40,3,60,0,0,5,100,14,0,0,0,1,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19
35,Lakshadweep,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,14,67,49,5,15,6,156,58,14,0,72,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,4,0,72,72,0,0,72,152,4,0,156,10,0,0,10,0,0,0,0,234,4,0,238,0,0,2,2.8,53,73.6,17,23.6,72,100,63,1,0,5,0,0,0,69,0,17,0,6,0,0,0,0,0,0,23,0,0,0,0,0,30,122
Total (UTs),Total (UTs),4415,7663,5848,977,134,316,19353,1397,650,161,2208,0,0,0,0,165,0,0,165,0,0,0,0,1598,446,63,83,18,2208,1986,61,0,2047,18281,550,5,18836,232,0,0,232,3,0,0,3,20502,611,5,21118,0,0,694,31.4,1209,54.8,305,13.8,2208,100,3888,214,330,1120,472,2535,171,8730,166,2661,73,1035,1306,8,46,591,1,68,5789,10,21,66,87,3123,172,14954
Total (All-India),Total (All-India),100297,151386,85071,23771,4887,6436,371848,104646,6803,1140,112589,1170,34,5,1209,4171,221,0,4392,223,5,1,229,85294,19604,2600,3468,1623,112589,106874,4562,13,111449,353699,14628,54,368381,3484,62,3,3549,203,3,0,206,464260,19255,70,483585,5,0,32334,28.7,56273,50,23977,21.3,112589,100,72806,8651,14465,29327,15435,40545,4885,186114,2217,29878,2482,12710,11051,5310,2884,6830,693,5693,77531,1411,4164,461,4625,64520,11658,283556
